Column mapping:
  timestamp <- 'sensor_timestamp'
  altitude_feet <- 'sensor_altitude_feet'
  accel_icm_x <- 'sensor_accel_icm_x'
  accel_icm_y <- 'sensor_accel_icm_y'
  accel_icm_z <- 'sensor_accel_icm_z'
  accel_bno_x <- 'sensor_accel_bno_x'
  accel_bno_y <- 'sensor_accel_bno_y'
  accel_bno_z <- 'sensor_accel_bno_z'
  gyro_x <- 'sensor_gyro_x'
  gyro_y <- 'sensor_gyro_y'
  gyro_z <- 'sensor_gyro_z'
  quat_w <- 'sensor_quat_w'
  quat_x <- 'sensor_quat_x'
  quat_y <- 'sensor_quat_y'
  quat_z <- 'sensor_quat_z'
time_s,altitude_m,velocity_mps,apogee_prediction_m,status,horizontal_velocity_mps
8.33581,223.031,-0.906302,0,ground,14.5558
8.34807,223.031,-0.906423,0,ground,14.5963
8.35888,223.03,-0.906841,0,ground,14.6323
8.36941,223.031,-0.905933,0,ground,14.6673
8.37984,223.033,-0.904293,0,ground,14.702
8.38984,223.034,-0.903629,0,ground,14.7353
8.39985,223.035,-0.902607,0,ground,14.7683
8.4101,223.035,-0.902541,0,ground,14.8024
8.42104,223.035,-0.902498,0,ground,14.8387
8.44186,223.026,-0.908278,0,ground,14.9079
8.45198,223.026,-0.903069,0,ground,14.9206
8.47329,223.018,-0.907374,0,ground,14.9879
8.48417,223.021,-0.90509,0,ground,15.0253
8.49424,223.024,-0.903233,0,ground,15.059
8.50521,223.025,-0.902066,0,ground,15.0951
8.51623,223.026,-0.901556,0,ground,15.1317
8.52709,223.027,-0.900763,0,ground,15.1677
8.53714,223.026,-0.901118,0,ground,15.2009
8.54715,223.028,-0.899818,0,ground,15.234
8.55807,223.027,-0.900148,0,ground,15.2702
8.56824,223.027,-0.900157,0,ground,15.3039
8.57988,223.027,-0.89942,0,ground,15.3424
8.60069,223.018,-0.904831,0,ground,15.4114
8.61121,223.016,-0.906377,0,ground,15.4461
8.62144,223.018,-0.904585,0,ground,15.4799
8.63181,223.018,-0.904756,0,ground,15.5142
8.64264,223.018,-0.904107,0,ground,15.5503
8.6532,223.021,-0.901892,0,ground,15.5855
8.66346,223.02,-0.90241,0,ground,15.6194
8.67368,223.02,-0.902346,0,ground,15.6533
8.68398,223.022,-0.90065,0,ground,15.6875
8.70784,223.011,-0.899234,0,ground,15.7359
8.7287,223.003,-0.90472,0,ground,15.8038
8.7489,222.998,-0.908693,0,ground,15.8707
8.75898,223,-0.906703,0,ground,15.9049
8.76921,223.002,-0.905404,0,ground,15.939
8.77971,223.003,-0.904719,0,ground,15.9737
8.78975,223.004,-0.903715,0,ground,16.0072
8.80066,223.004,-0.903426,0,ground,16.0435
8.81092,223.007,-0.901174,0,ground,16.0777
8.82108,223.008,-0.900086,0,ground,16.1114
8.83142,223.011,-0.898057,0,ground,16.1457
8.84161,223.013,-0.896666,0,ground,16.1795
8.85252,223.014,-0.895965,0,ground,16.2157
8.86294,223.015,-0.895026,0,ground,16.2503
8.87322,223.016,-0.894284,0,ground,16.2844
8.8835,223.017,-0.893205,0,ground,16.3186
8.89441,223.019,-0.892078,0,ground,16.3545
8.91525,223.01,-0.898181,0,ground,16.4234
8.9287,223.01,-0.898408,0,ground,16.4678
8.93875,223.011,-0.897164,0,ground,16.5013
8.94972,223.012,-0.896725,0,ground,16.5378
8.96007,223.014,-0.895339,0,ground,16.5721
8.97083,223.014,-0.89529,0,ground,16.6079
8.98246,223.016,-0.893429,0,ground,16.6464
8.9925,223.017,-0.892613,0,ground,16.6796
9.00255,223.02,-0.891006,0,ground,16.7129
9.01258,223.021,-0.890114,0,ground,16.7463
9.0227,223.022,-0.889446,0,ground,16.7801
9.03292,223.02,-0.890529,0,ground,16.8142
9.04298,223.022,-0.889381,0,ground,16.8474
9.05391,223.022,-0.888787,0,ground,16.8836
9.06439,223.023,-0.888818,0,ground,16.9183
9.07465,223.025,-0.882775,0,ground,16.9353
9.09616,223.017,-0.878889,0,ground,16.9739
9.11704,223.01,-0.884417,0,ground,17.0411
9.12804,223.012,-0.883105,0,ground,17.0795
9.13888,223.014,-0.881812,0,ground,17.1154
9.1499,223.016,-0.880068,0,ground,17.1518
9.16069,223.017,-0.879316,0,ground,17.1875
9.17118,223.018,-0.878239,0,ground,17.2223
9.1814,223.018,-0.878265,0,ground,17.256
9.1924,223.019,-0.877726,0,ground,17.2926
9.20305,223.02,-0.877056,0,ground,17.3279
9.21317,223.022,-0.87606,0,ground,17.3612
9.23395,223.015,-0.881164,0,ground,17.4298
9.24456,223.017,-0.879749,0,ground,17.4649
9.25551,223.018,-0.878869,0,ground,17.5012
9.27326,223.014,-0.882313,0,ground,17.5597
9.28338,223.016,-0.880736,0,ground,17.5935
9.29344,223.018,-0.879358,0,ground,17.6268
9.30351,223.017,-0.875503,0,ground,17.6433
9.32416,223.01,-0.879607,0,ground,17.7079
9.3346,223.011,-0.879324,0,ground,17.7433
9.34511,223.011,-0.878982,0,ground,17.7782
9.35604,223.012,-0.878395,0,ground,17.8145
9.36661,223.014,-0.877077,0,ground,17.8494
9.37679,223.017,-0.874462,0,ground,17.8832
9.38808,223.018,-0.874191,0,ground,17.9204
9.39856,223.02,-0.872588,0,ground,17.9551
9.40889,223.022,-0.870978,0,ground,17.9894
9.41904,223.025,-0.869437,0,ground,18.0229
9.42923,223.026,-0.868821,0,ground,18.0566
9.43942,223.027,-0.868184,0,ground,18.0905
9.45029,223.03,-0.866025,0,ground,18.1267
9.46091,223.031,-0.860775,0,ground,18.1444
9.48234,223.024,-0.865731,0,ground,18.2115
9.4924,223.026,-0.864728,0,ground,18.2458
9.50325,223.026,-0.864764,0,ground,18.2818
9.5137,223.026,-0.864946,0,ground,18.3164
9.52373,223.029,-0.863343,0,ground,18.3497
9.53462,223.031,-0.862036,0,ground,18.3857
9.54467,223.033,-0.86043,0,ground,18.4189
9.55472,223.034,-0.8599,0,ground,18.4524
9.5653,223.036,-0.858763,0,ground,18.4875
9.57599,223.036,-0.85439,0,ground,18.5054
9.59725,223.029,-0.858919,0,ground,18.572
9.60819,223.029,-0.859498,0,ground,18.6092
9.61947,223.029,-0.859679,0,ground,18.6468
9.63026,223.028,-0.861032,0,ground,18.6827
9.64076,223.03,-0.859618,0,ground,18.7176
9.65096,223.03,-0.854618,0,ground,18.7342
9.68405,223.012,-0.867074,0,ground,18.835
9.69409,223.016,-0.864645,0,ground,18.8704
9.70409,223.018,-0.86352,0,ground,18.9036
9.71413,223.02,-0.862026,0,ground,18.9369
9.7251,223.024,-0.859996,0,ground,18.9735
9.73579,223.024,-0.859574,0,ground,19.009
9.74678,223.026,-0.858738,0,ground,19.0453
9.75679,223.026,-0.858134,0,ground,19.0786
9.76762,223.027,-0.858219,0,ground,19.1148
9.77793,223.028,-0.857277,0,ground,19.1488
9.7881,223.032,-0.850572,0,ground,19.1656
9.8095,223.024,-0.855693,0,ground,19.2325
