time_s,status,altitude_m,vertical_velocity_mps,logged_apogee_m,legacy_apogee_m,safer_apogee_m,legacy_horizontal_speed_mps,safer_horizontal_speed_mps,zenith_deg
602.7045288085938,burn,332.1283264160156,108.48885345458984,0.0,831.898017044074,830.5067364534307,4.668328197710195,0.7234166537099441,2.463945279635437
602.7265625,burn,335.989013671875,110.52210998535156,0.0,851.6488306990634,850.2352522270438,4.6070500227777496,0.7277290749425689,2.386959442735873
602.7576293945312,burn,340.9011535644531,112.81130981445312,0.0,874.6228002846084,873.2305330472252,4.692760213689793,0.7444763304012176,2.382034449457471
602.779541015625,burn,344.786865234375,114.7748031616211,0.0,894.0634076951728,892.6106792760801,4.882538766599225,0.7480059082635396,2.4359030842243032
602.8078002929688,burn,349.4300537109375,116.89873504638672,0.0,915.6132421000582,914.0251189638395,5.194149923283708,0.7655625814881795,2.544144293652669
602.838134765625,burn,354.4166564941406,119.10930633544922,0.0,938.4666867305423,936.5744664040818,5.516650268194354,0.7738516526033867,2.651808352096168
602.8679809570312,burn,359.4187927246094,121.30720520019531,0.0,961.1857383846902,959.0662558667364,5.745599326290079,0.7717280725966499,2.711733016779275
602.8997802734375,burn,364.7611389160156,123.5847396850586,0.0,985.1188073210027,982.7640591310171,6.033001641355508,0.7613789325027036,2.7947733894912323
602.9310913085938,burn,370.1152648925781,125.83812713623047,0.0,1008.8758167568005,1006.3803450230129,6.365221209233215,0.7481826174511379,2.895702241082865
602.9541625976562,burn,374.5543518066406,127.90340423583984,0.0,1030.423257655165,1027.6601965603197,6.614829464329146,0.7431008119600887,2.9605501914970813
602.9815063476562,burn,379.5379638671875,130.03529357910156,0.0,1053.0536558367655,1050.1768860375548,6.700665638566442,0.7231295041542527,2.949819110537345
602.9985961914062,burn,383.20416259765625,131.83631896972656,0.0,1071.6917678094933,1068.798318860625,6.736277946162689,0.7144901381902072,2.9250280851711374
603.0186767578125,burn,387.2449035644531,133.6732635498047,0.0,1091.0192021107366,1088.129574723406,6.737307709700069,0.6970014762553602,2.8853408441119552
603.0482788085938,burn,392.62664794921875,135.80311584472656,0.0,1114.272889278255,1111.4034321255813,6.812498504368941,0.7081087054501661,2.8718081049320445
603.0681762695312,burn,396.6920471191406,137.59161376953125,0.0,1133.3478530996556,1130.4108677557067,6.929731968421345,0.7002199489955843,2.8832367189607684
603.1006469726562,burn,402.522216796875,139.5704803466797,0.0,1155.8313807266677,1152.519398100165,7.411239173330417,0.6611305581842376,3.0395703575522512
603.1204223632812,burn,406.6260986328125,141.0782012939453,0.0,1172.7200228774695,1169.189199493515,7.568511557813358,0.6287477223000678,3.0708391770159813
603.1553955078125,burn,413.0421447753906,142.640380859375,0.0,1192.2418237882819,1188.7309769029139,7.649135216079637,0.5727728244750322,3.0695640660753045
603.1915893554688,coast,419.72998046875,143.91024780273438,573.7308349609375,1209.7821092457502,1205.9640082112687,7.862073605892142,0.5283262015655326,3.127062092612353
603.2294921875,coast,426.72833251953125,144.82164001464844,582.7650756835938,1224.4770887178308,1220.5598168878414,8.075875262693913,0.5091959988695884,3.191752521788836
603.2637329101562,coast,433.2304992675781,145.6020050048828,591.270751953125,1237.5552714371415,1233.462781675231,8.068417441073777,0.5039002562120206,3.171755435446331
603.3114013671875,coast,441.72198486328125,146.1209716796875,600.8778076171875,1250.367014602056,1246.8485433114838,7.31857759705124,0.5170921480331602,2.8673057296085367
603.3555297851562,coast,449.71929931640625,146.69967651367188,609.9998779296875,1263.3591452345765,1260.0929863577478,7.115049934890822,0.5057205626026438,2.7767145827691304
603.3961181640625,coast,457.19354248046875,147.34881591796875,619.097900390625,1276.1557012900946,1272.7835643181934,7.1416258570855575,0.5147002325285032,2.7748106675379893
603.4290161132812,coast,463.52374267578125,148.0304412841797,626.8328857421875,1288.399740455065,1285.148892468019,7.07606913404705,0.5142706985361785,2.7367379124438687
603.4743041992188,coast,471.73419189453125,148.57350158691406,636.1553344726562,1301.2253860594537,1298.2016305040354,6.834154476607149,0.5102576369927964,2.6336620335753254
603.5057983398438,coast,477.9232177734375,149.3325958251953,643.6107788085938,1312.832894208345,1309.7766395743795,7.491554786594442,0.502869660547094,2.871944495272033
603.5429077148438,coast,484.911376953125,149.8910369873047,652.467529296875,1325.406307701204,1320.985843858568,8.457143045485767,0.4576215044050576,3.2293151471293213
603.5827026367188,coast,492.2566833496094,150.4341278076172,661.041015625,1337.4375488904461,1332.9927023330229,8.482673817369777,0.41588678123534417,3.2273745196313914
603.6362915039062,coast,501.6665344238281,150.63328552246094,670.6810913085938,1348.574368226347,1344.7885070664734,7.7987216439151705,0.3933244912170391,2.963722387479729
603.6753540039062,coast,508.8666076660156,151.04611206054688,678.6521606445312,1359.1364273450483,1355.3477009333274,8.08234022005547,0.40887222703748055,3.062924054984994
603.7193603515625,coast,516.8250122070312,151.36349487304688,687.8584594726562,1369.7604508237284,1365.4177191378549,8.38261398022326,0.4216350251788916,3.1698414883748467
603.7579345703125,coast,523.9818115234375,151.77835083007812,695.6459350585938,1380.6068695310153,1376.5593233774885,8.322140683194664,0.4136423309443011,3.138435424797482
603.7949829101562,coast,530.8678588867188,152.1620635986328,703.4877319335938,1390.7674023325392,1386.5957382985375,8.42815554113204,0.40936699543000554,3.1703356098726148
603.839599609375,coast,538.9088134765625,152.4184112548828,712.1209106445312,1400.9199492472433,1396.8256990811692,8.406192260695585,0.4479904094126304,3.15678323389884
603.8729248046875,coast,545.36669921875,152.93724060058594,719.8875122070312,1411.7695130330922,1407.6120877046794,8.357915509234939,0.47038101549810735,3.128063569099406
603.9231567382812,coast,554.358642578125,153.11868286132812,729.3182373046875,1422.20088801985,1418.3291023939257,7.945960310468218,0.48883626394165575,2.970649693402003
603.9675903320312,coast,562.4256591796875,153.35177612304688,737.7731323242188,1432.292834718532,1428.8253365617359,7.519691872297576,0.4880113822251926,2.807282667512699
604.0096435546875,coast,570.0336303710938,153.53164672851562,745.6771240234375,1441.4060609868245,1438.0673084517082,7.434277857891191,0.46618894762625585,2.772199187397517
604.0426635742188,coast,576.1817016601562,153.79144287109375,752.3761596679688,1449.7093097150328,1446.2799647327208,7.6496692652137055,0.45776965172560463,2.84757608786072
604.079833984375,coast,582.906982421875,153.92791748046875,759.5557861328125,1457.6221220655964,1454.0123454698671,7.72061908072803,0.43754347440294117,2.87139914735549
604.1271362304688,coast,591.1193237304688,153.8351287841797,767.591796875,1464.950475786699,1461.4907123879923,7.409533525845662,0.43224946000283343,2.7575441627596087
604.1724243164062,coast,599.1021118164062,153.84097290039062,775.4359741210938,1472.973692364535,1469.874193160569,7.029097379773272,0.44563485676559506,2.616063197405141
604.2042846679688,coast,605.0403442382812,154.09046936035156,782.00390625,1481.0086631350027,1477.958920109585,6.941196821986606,0.486606047635456,2.579216034380215
604.254638671875,coast,613.7527465820312,153.95761108398438,790.367919921875,1488.548035605766,1485.4993213338448,7.073404426839806,0.5499642932241019,2.630538502690514
604.2954711914062,coast,620.9385375976562,153.93756103515625,797.5703125,1495.5079037665985,1492.4755127952672,6.967328914783546,0.5574751581652753,2.5914811331388536
604.3453369140625,coast,629.4644775390625,153.73037719726562,805.5325317382812,1502.2242517549319,1499.3521926408862,6.791691347950586,0.5644939275400276,2.5296391062896775
604.3848266601562,coast,636.2936401367188,153.63174438476562,812.0684204101562,1508.1745605882402,1505.3230168591238,6.792321039214236,0.5486426188278498,2.53149542364004
604.4304809570312,coast,643.9707641601562,153.36459350585938,819.0574951171875,1513.506383924045,1510.5539490476085,6.964452918614381,0.5248925829845938,2.600077353096138
604.4705200195312,coast,650.9381103515625,153.31689453125,826.0209350585938,1520.0381915381786,1517.0202696482693,6.93173913829191,0.521010067844685,2.588684811003968
604.5153198242188,coast,658.5674438476562,153.14797973632812,833.242431640625,1526.1614897453064,1523.322184318146,6.645744640560189,0.528591384441484,2.4847496089604726
604.559814453125,coast,666.079345703125,152.93038940429688,840.10302734375,1531.786859888801,1529.0950233496608,6.5112671707060805,0.5083281798998251,2.4379912011196234
604.611083984375,coast,674.5630493164062,152.57177734375,847.64892578125,1537.0714705231767,1534.2006524379738,6.893005506359902,0.5037260537832992,2.5867939158209325
604.6439208984375,coast,680.1914672851562,152.48150634765625,853.1734008789062,1541.9661687632347,1538.8502703974266,7.145882034070361,0.503384475816058,2.6831420583570136
604.6798706054688,coast,686.2379150390625,152.31141662597656,858.8582763671875,1546.5874102552639,1543.3882537393665,7.2263822967669435,0.5015648183637648,2.7163489439977346
604.7243041992188,coast,693.5208129882812,151.96954345703125,865.3594360351562,1550.9077157100307,1547.7402515236538,7.14724842286361,0.5060604504590296,2.692681911636817
604.7673950195312,coast,700.53125,151.62037658691406,871.5608520507812,1554.888567690549,1551.7639628397385,7.058355583803148,0.5241823716011517,2.6653556054280654
604.8190307617188,coast,708.7963256835938,151.12362670898438,878.7033081054688,1558.7774752781838,1555.9084012383169,6.602503572171416,0.5406227468787471,2.5016285005034553
