angle of actuation,angle of attack,mach number,axial force,normal force
0.0,1.25,0.575,219.5508347257762,125.8193223875621

0.0,1.25,0.6,238.9908626243173,137.6425093748342

0.0,1.25,0.625,259.516320682327,150.6861986718371

0.0,1.25,0.65,280.9647142369347,163.6569483848401

0.0,1.25,0.675,303.4004330388911,176.9400313525315

0.0,1.25,0.7,327.0558402614627,192.0148745939587

0.0,2.5,0.025,0,17.377125760867784

0.0,2.5,0.05,0,24.326767700475102

0.0,2.5,0.075,4.8382860473581495,30.73822609811441

0.0,2.5,0.1,9.766543947897407,36.397494380823446

0.0,2.5,0.125,12.151713663738066,40.90357115853226

0.0,2.5,0.15,10.392730761681399,43.13561609349229

0.0,2.5,0.175,22.195655659886437,41.20607085917506

0.0,2.5,0.2,27.631069049853288,42.56658524601606

0.0,2.5,0.225,29.88272668570104,45.16815253182782

0.0,2.5,0.25,43.4883220661715,47.76971981763958

0.0,2.5,0.275,52.2356854914746,57.83485860141504

0.0,2.5,0.3,61.79456396893315,68.7954396122478

0.0,2.5,0.325,72.12578662282422,80.69977341590283

0.0,2.5,0.35,83.07833739742892,93.47553944254463

0.0,2.5,0.375,95.06275052441015,107.5462305530368

0.0,2.5,0.4,107.6986042527836,123.2222783146518

0.0,2.5,0.425,121.1518858681412,139.0636787349256

0.0,2.5,0.45,135.4749243656987,156.1973575213934

0.0,2.5,0.475,150.510133599928,174.8392810569914

0.0,2.5,0.5,166.4403570164954,194.1453274283621

0.0,2.5,0.525,183.2436632846529,215.2133339603989

0.0,2.5,0.55,200.7898046668016,237.1119600252699

0.0,2.5,0.575,219.2783950692401,260.2984693517627

0.0,2.5,0.6,238.6998176651265,284.718260640706

0.0,2.5,0.625,259.0758280190548,310.5979635796319

0.0,2.5,0.65,280.5583288974344,337.8383756878587

0.0,2.5,0.675,303.0229978047388,367.1672308645737

0.0,2.5,0.7,326.9027586230105,396.523594541342

0.0,3.75,0.025,0,31.518075315576766

0.0,3.75,0.05,0,42.001644408980155

0.0,3.75,0.075,5.716125880856151,51.57447801258331

0.0,3.75,0.1,11.147350006542656,59.87473036671099

0.0,3.75,0.125,15.323423501158912,66.23957742363359

0.0,3.75,0.15,16.368822287696602,68.91186557188304

0.0,3.75,0.175,11.946306778455636,64.71164099106831

0.0,3.75,0.2,23.749231676660674,62.37811884514271

0.0,3.75,0.225,35.55215657486573,61.25652743404221

0.0,3.75,0.25,43.47835425150335,74.66858525842811

0.0,3.75,0.275,52.22917856636676,90.34341461617153

0.0,3.75,0.3,61.74381380010136,107.551974088847

0.0,3.75,0.325,71.98042909878934,126.0986127600887

0.0,3.75,0.35,83.07291192326487,146.3667917423941

0.0,3.75,0.375,94.89373050129609,168.3842233333834

0.0,3.75,0.4,107.4564178119362,191.9829473784286

0.0,3.75,0.425,120.9566115923119,217.4740123365862

0.0,3.75,0.45,135.1966577674289,244.3410530997064

0.0,3.75,0.475,150.2233634388639,272.9978723306397

0.0,3.75,0.5,166.074348685377,303.4359844773968

0.0,3.75,0.525,182.8629941297702,335.6346432096736

0.0,3.75,0.55,200.3544728972692,370.0150169556865

0.0,3.75,0.575,218.8176479912339,406.1919773080401

0.0,3.75,0.6,238.1892732566243,444.5394532189817

0.0,3.75,0.625,258.6037420747148,484.7506622669214

0.0,3.75,0.65,280.0076411823166,527.2715485995091

0.0,3.75,0.675,302.5492977786929,572.1625538495477

0.0,3.75,0.7,326.3504131515585,620.0844297339067

0.0,5.0,0.025,0,8.471485847869872

0.0,5.0,0.05,0,26.015768999851275

0.0,5.0,0.075,1.8819857291170299,42.74930112161144

0.0,5.0,0.1,8.079137020550224,58.36568623448312

